日期,行业名称,电量_万千瓦时
2024-01-05,  其中：水泥制造,1255.72
2024-01-05,  其中：港口岸电,4.4013
2024-01-05,  其中：煤化工,227.9935
2024-01-05,  其中：电厂生产全部耗用电量,163.2283
2024-01-05,  其中：电气化铁路,1211.6067
2024-01-05,  其中：碳化硅,5.1961
2024-01-05,  其中：科技推广和应用服务业,56.6295
2024-01-05,  其中：租赁业,9.7882
2024-01-05,  其中：结构性金属制品制造,612.2497
2024-01-05,  其中：肥料制造,2325.7786
2024-01-05,  其中：计算机制造,18.8955
2024-01-05,  其中：钢铁,3238.2065
2024-01-05,  其中：铁路运输设备制造,20.7277
2024-01-05,  其中：铝冶炼,3.0677
2024-01-05,  其中：风能原动设备制造,0.0358
2024-01-05,  城市轨道交通设备制造,11.9871
2024-01-05,  塑料制品业,784.3079
2024-01-05,  抽水蓄能抽水耗用电量,542.8427
2024-01-05,  玻璃制造,204.061
2024-01-05,  生物药品制品制造,111.9857
2024-01-05,  电石,0.0
2024-01-05,  稀有稀土金属冶炼,5.2606
2024-01-05,  线路损失电量,0.0682
